,name,id,sweep_name,sweep_id,dev F1,n_all_params,train accuracy,n_combiner_params,dev eval epoch time,loss,_wandb,dev loss,_timestamp,n_classifier_params,epoch,train F1,dev accuracy,total epoch time,_step,_runtime,batch loss,train epoch time,n_pos_enc_params,n_bias_params,n_clas_params,n_circ_params,n_batch_norm_params,seed,epochs,emb_dim,optimizer,batch_size,hidden_dim,rnn_layers,vocab_size,learning_rate,n_layers,bias,gates,n_reps,pos_enc,clas_type,circ_in,batch_norm
36,proud-sweep-4,117jzkav,sentemb_bow_run,lhj7yisr,0.8133047210300429,301,0.8397600558285944,,0.22673586606979365,0.0058837565786810314,{'runtime': 552},0.0020515050636518988,1715242106.2290697,,29,0.858,0.8004587155963303,8.570550620555876,31620,552.903083562851,0.5208061933517456,8.343814754486084,,,,,,559,30,300,adam,64,,,,0.01,,,,,,,,
37,major-sweep-3,oqwxqmx2,sentemb_bow_run,lhj7yisr,0.8146596858638744,301,0.8398194479502294,,0.22189319133758545,0.005878979357425725,{'runtime': 549},0.002124488798029926,1715241543.374229,,29,0.8582279811811706,0.7970183486238532,8.51749307314555,31620,550.1648008823395,0.2399057298898697,8.295599881807965,,,,,,213,30,300,adam,64,,,,0.01,,,,,,,,
38,celestial-sweep-2,evdufave,sentemb_bow_run,lhj7yisr,0.8119469026548672,301,0.8394185511291927,,0.21316744883855188,0.005881647747427331,{'runtime': 498},0.0020552513044361674,1715240983.3831866,,29,0.8578189706172352,0.805045871559633,7.681420270601908,31620,498.93254256248474,0.24467310309410095,7.468252821763357,,,,,,312,30,300,adam,64,,,,0.01,,,,,,,,
39,electric-sweep-1,5kbnc17e,sentemb_bow_run,lhj7yisr,0.8074807480748075,301,0.8393740070379664,,0.20124550263086952,0.005882023446789903,{'runtime': 453},0.0020305061490710724,1715240474.5112307,,29,0.8579494721361416,0.7993119266055045,6.939440413316092,31620,453.91233682632446,0.3051598370075226,6.738194910685222,,,,,,605,30,300,adam,64,,,,0.01,,,,,,,,
40,revived-sweep-10,vlyl1e0w,sentemb_circ_run,uu1ja94q,0.8081896551724138,851,0.8321281681984884,,0.18590426842371616,0.005939248358267527,{'runtime': 16861},0.002164344448562062,1715239364.5405643,,29,0.8512877173598505,0.7958715596330275,280.43554668426515,31620,16862.22870349884,0.4346186518669128,280.2496424158414,0.0,300.0,515.0,36.0,,595,30,300,adam,64,,,,0.0001,,vector,"['ry', 'crx_ring', 'ry', 'crx_ring']",32.0,none,tomography,,
41,pleasant-sweep-9,p7i4wy8v,sentemb_circ_run,uu1ja94q,0.8134490238611713,851,0.8301088360628962,,0.1858060439427694,0.005988198475210482,{'runtime': 16896},0.002068530084616547,1715222491.906124,,29,0.8496412520696996,0.8027522935779816,281.0069956461588,31620,16896.573940992355,0.8051249384880066,280.82118960221607,0.0,300.0,515.0,36.0,,835,30,300,adam,64,,,,0.0001,,vector,"['ry', 'crx_ring', 'ry', 'crx_ring']",32.0,none,tomography,,
42,still-sweep-8,9dbjfqo7,sentemb_circ_run,uu1ja94q,0.8112798264642083,851,0.830762149400882,,0.18524294296900432,0.005947202545631617,{'runtime': 16852},0.002030811486167645,1715205585.1690192,,29,0.8499947357338387,0.8004587155963303,280.27135968208313,31620,16853.020149230957,0.6674005389213562,280.0861167391141,0.0,300.0,515.0,36.0,,994,30,300,adam,64,,,,0.0001,,vector,"['ry', 'crx_ring', 'ry', 'crx_ring']",32.0,none,tomography,,
43,blooming-sweep-7,t6sr3w5v,sentemb_circ_run,uu1ja94q,0.8056155507559395,851,0.8312521344043713,,0.18407004674275715,0.005967869776076086,{'runtime': 16850},0.002016787306157821,1715188720.2528458,,29,0.850277313027784,0.7935779816513762,280.2557436784108,31620,16851.123679876328,0.22053341567516327,280.0716736316681,0.0,300.0,515.0,36.0,,268,30,300,adam,64,,,,0.0001,,vector,"['ry', 'crx_ring', 'ry', 'crx_ring']",32.0,none,tomography,,
44,twilight-sweep-6,taixpeif,sentemb_circ_run,uu1ja94q,0.8060344827586207,851,0.8302127722757576,,0.18760881423950188,0.00598261353242944,{'runtime': 16864},0.0021291919599432463,1715171859.6255708,,29,0.8495454126810784,0.7935779816513762,280.4781425476074,31620,16864.85230088234,0.5410752296447754,280.2905337333679,0.0,300.0,515.0,36.0,,929,30,300,adam,64,,,,0.0001,,vector,"['ry', 'crx_ring', 'ry', 'crx_ring']",32.0,none,tomography,,
45,clean-sweep-5,hujjvh3t,sentemb_circ_run,uu1ja94q,0.8116883116883117,851,0.8311481981915099,,0.18356940746307376,0.005964834433502588,{'runtime': 16877},0.002088076204334924,1715154986.6650624,,29,0.8503053917438922,0.8004587155963303,280.7022352576256,31620,16878.04850935936,0.5476765036582947,280.5186658501625,0.0,300.0,515.0,36.0,,983,30,300,adam,64,,,,0.0001,,vector,"['ry', 'crx_ring', 'ry', 'crx_ring']",32.0,none,tomography,,
46,stellar-sweep-4,zssxl7eq,sentemb_circ_run,uu1ja94q,0.8047464940668824,851,0.8323508886546199,,0.1851113438606262,0.005919662992526511,{'runtime': 16877},0.0021673035936071237,1715138098.8695786,,29,0.8515572617435547,0.7924311926605505,280.6846395770708,31620,16877.38302254677,0.4895227551460266,280.49952823321024,0.0,300.0,515.0,36.0,,242,30,300,adam,64,,,,0.0001,,vector,"['ry', 'crx_ring', 'ry', 'crx_ring']",32.0,none,tomography,,
47,rare-sweep-3,ffmyl0k1,sentemb_circ_run,uu1ja94q,0.8111587982832618,851,0.8332566185095547,,0.1834447463353475,0.005935245042909314,{'runtime': 16874},0.0020556900684439807,1715121209.0529182,,29,0.852558884541659,0.7981651376146789,280.63535530964526,31620,16874.46347427368,0.4402700364589691,280.4519105633099,0.0,300.0,515.0,36.0,,804,30,300,adam,64,,,,0.0001,,vector,"['ry', 'crx_ring', 'ry', 'crx_ring']",32.0,none,tomography,,
48,sunny-sweep-2,z2k5hjfc,sentemb_circ_run,uu1ja94q,0.8030139935414424,851,0.8326181532019777,,0.1812634785970052,0.005934209374925228,{'runtime': 16898},0.002201364743053366,1715104324.3745413,,29,0.8517939076817901,0.7901376146788991,281.04392906030023,31620,16898.773027181625,0.4701061248779297,280.8626655817032,0.0,300.0,515.0,36.0,,55,30,300,adam,64,,,,0.0001,,vector,"['ry', 'crx_ring', 'ry', 'crx_ring']",32.0,none,tomography,,
49,twilight-sweep-1,7e05dmxc,sentemb_circ_run,uu1ja94q,0.8047464940668824,851,0.8307769974312907,,0.17750463485717774,0.005965612081671138,{'runtime': 16939},0.0020811231721431836,1715087417.1445727,,29,0.8501754985605174,0.7924311926605505,281.7110646128655,31620,16940.10143470764,0.4401675760746002,281.5335599780083,0.0,300.0,515.0,36.0,,107,30,300,adam,64,,,,0.0001,,vector,"['ry', 'crx_ring', 'ry', 'crx_ring']",32.0,none,tomography,,
50,laced-sweep-10,s0j1h95n,sentemb_ham_run,mc936q6f,0.8089647812166488,130854,0.9027454008225808,,0.20402515729268397,0.001919670950029349,{'runtime': 5047},0.0023201286382631423,1715054477.6008346,,29,0.9131345817198028,0.7947247706422018,83.52163408199948,15840,5047.608546495438,0.0943649485707283,83.31760892470679,0.0,130816.0,,36.0,2.0,225,30,300,adam,128,,,,0.001,,matrix,"['ry', 'crx_ring', 'ry', 'crx_ring']",16.0,none,,zeros,True
51,kind-sweep-9,e63gjru0,sentemb_ham_run,mc936q6f,0.8192513368983957,130854,0.9022405677886828,,0.20425317684809363,0.0019165717078498867,{'runtime': 5047},0.0026193357525615517,1715049420.2781074,,29,0.91274385072095,0.8061926605504587,83.52206836938856,15840,5047.3516182899475,0.6621072888374329,83.3178151925405,0.0,130816.0,,36.0,2.0,20,30,300,adam,128,,,,0.001,,matrix,"['ry', 'crx_ring', 'ry', 'crx_ring']",16.0,none,,zeros,True
52,smart-sweep-8,muym6hlg,sentemb_ham_run,mc936q6f,0.8121085594989561,130854,0.9033541700693404,,0.20359535614649457,0.001924772444283819,{'runtime': 5050},0.002265854132011396,1715044364.6547773,,29,0.91367946422651,0.7935779816513762,83.58300298849741,15840,5051.182593345642,0.97259521484375,83.3794076323509,0.0,130816.0,,36.0,2.0,808,30,300,adam,128,,,,0.001,,matrix,"['ry', 'crx_ring', 'ry', 'crx_ring']",16.0,none,,zeros,True
53,amber-sweep-7,woezabmj,sentemb_ham_run,mc936q6f,0.7978723404255319,130854,0.9022108717278652,,0.20551175673802696,0.001905902338926418,{'runtime': 5050},0.002387460287010998,1715039304.165966,,29,0.9125806365977328,0.7821100917431193,83.58152245283125,15840,5050.56830906868,0.13378523290157318,83.37601069609325,0.0,130816.0,,36.0,2.0,260,30,300,adam,128,,,,0.001,,matrix,"['ry', 'crx_ring', 'ry', 'crx_ring']",16.0,none,,zeros,True
54,icy-sweep-6,xtquivy8,sentemb_ham_run,mc936q6f,0.8249194414607949,130854,0.9026860087009458,,0.205055030186971,0.0019200264205716533,{'runtime': 5052},0.0023485144275590913,1715034243.5146985,,29,0.9132242347208982,0.8130733944954128,83.58082009951274,15840,5052.930621385574,0.3463301360607147,83.37576506932577,0.0,130816.0,,36.0,2.0,547,30,300,adam,128,,,,0.001,,matrix,"['ry', 'crx_ring', 'ry', 'crx_ring']",16.0,none,,zeros,True
55,neat-sweep-5,qu9q7ytz,sentemb_ham_run,mc936q6f,0.8143459915611815,130854,0.9038293070424208,,0.2047975023587545,0.0019132936418903444,{'runtime': 5059},0.0022136167785443295,1715029181.1911223,,29,0.9140673716052168,0.7981651376146789,83.7103325128555,15840,5059.295845270157,0.3667159974575043,83.50553501049676,0.0,130816.0,,36.0,2.0,870,30,300,adam,128,,,,0.001,,matrix,"['ry', 'crx_ring', 'ry', 'crx_ring']",16.0,none,,zeros,True
56,smooth-sweep-4,2pj1jhww,sentemb_ham_run,mc936q6f,0.8157614483493077,130854,0.9028493370354422,,0.2039955059687296,0.0019293138684749456,{'runtime': 5054},0.002104704806564051,1715024112.5080018,,29,0.9132193588604322,0.801605504587156,83.62247529029845,15840,5054.821481704712,0.4347205460071564,83.41847978432973,0.0,130816.0,,36.0,2.0,782,30,300,adam,128,,,,0.001,,matrix,"['ry', 'crx_ring', 'ry', 'crx_ring']",16.0,none,,zeros,True
57,comic-sweep-3,ikt0hvzw,sentemb_ham_run,mc936q6f,0.8187633262260128,130854,0.9024038961231792,,0.20395984252293903,0.0019175476465131903,{'runtime': 5058},0.002345592364532138,1715019049.973107,,29,0.9127705598980798,0.805045871559633,83.71012056271235,15840,5058.96935915947,0.31253448128700256,83.50616072018943,0.0,130816.0,,36.0,2.0,489,30,300,adam,128,,,,0.001,,matrix,"['ry', 'crx_ring', 'ry', 'crx_ring']",16.0,none,,zeros,True
58,fast-sweep-2,rd9wnbql,sentemb_ham_run,mc936q6f,0.7983104540654699,130854,0.9024335921839968,,0.20197059313456223,0.0019266982062462737,{'runtime': 5072},0.00226624689381057,1715013980.2413664,,29,0.9127971016416068,0.7809633027522935,83.93896207412082,15840,5073.24568939209,0.2101173847913742,83.73699148098628,0.0,130816.0,,36.0,2.0,647,30,300,adam,128,,,,0.001,,matrix,"['ry', 'crx_ring', 'ry', 'crx_ring']",16.0,none,,zeros,True
59,fresh-sweep-1,nhoukgoe,sentemb_ham_run,mc936q6f,0.8008298755186722,130854,0.9034581062822016,,0.20064364274342852,0.0018953759054572712,{'runtime': 5054},0.0025652791928807528,1715008890.4682372,,29,0.9137436985937916,0.7798165137614679,83.58881645202635,15840,5054.937795162201,0.18185600638389587,83.38817280928293,0.0,130816.0,,36.0,2.0,810,30,300,adam,128,,,,0.001,,matrix,"['ry', 'crx_ring', 'ry', 'crx_ring']",16.0,none,,zeros,True
