,n_pos_enc_params,_timestamp,dev accuracy,n_clas_params,n_circ_params,train accuracy,_step,_runtime,n_all_params,loss,dev loss,total epoch time,epoch,batch loss,n_bias_params,train F1,dev F1,dev eval epoch time,train epoch time,run_id,n_batch_norm_params
8976,,1715340280.528102,0.6892201834862385,,,0.7021039659089222,8976,2615.218356847763,,0.004497887824970775,0.0027225120762072574,42.980523574352254,16.0,,,0.7279039804706042,0.7107790821771611,0.11632899045944214,42.864194583892825,mo5x80pt,
9504,,1715340432.7152438,0.6857798165137615,,,0.7032918083416235,9504,2767.4054987430573,,0.004491386606471342,0.0026957905347194146,45.516971866289765,17.0,,,0.7283700572267456,0.7091295116772823,0.12310134569803874,45.39387052059174,mo5x80pt,
10032,,1715340584.804832,0.6777522935779816,,,0.7038411854667478,10032,2919.4950869083405,,0.004476899866109139,0.0028363509325806152,48.051794052124016,18.0,,,0.7290902670252356,0.6988210075026795,0.130206835269928,47.9215872168541,mo5x80pt,
10560,,1715340737.4133139,0.6880733944954128,,,0.7047320672912738,10560,3072.103568792343,,0.004475086816344988,0.0026700515812690105,50.5952648003896,19.0,,,0.7288814964279872,0.7094017094017094,0.13703349033991497,50.4582313100497,mo5x80pt,
11088,,1715340890.1490161,0.6880733944954128,,,0.7058456695719313,11088,3224.839271068573,,0.004459950310659755,0.002706465097742343,53.14085511366525,20.0,,,0.7300328413937833,0.7100213219616205,0.14389745791753134,52.996957655747735,mo5x80pt,
11616,,1715341042.2866728,0.6926605504587156,,,0.7064544388186907,11616,3376.976927757263,,0.0044547858344457,0.0027123014314459006,55.676478691895795,21.0,,,0.7298958931059923,0.7118279569892473,0.1508313735326131,55.52564731836319,mo5x80pt,
12144,,1715341194.7099228,0.6857798165137615,,,0.7089637559577722,12144,3529.400177717209,,0.004444147218678933,0.0027345986951381788,58.216862169901525,22.0,,,0.7328362887946898,0.7047413793103449,0.15771495501200358,58.05914721488953,mo5x80pt,
12672,,1715341346.764735,0.6869266055045872,,,0.7093052606571738,12672,3681.4549899101257,,0.004435726874697619,0.0027204870220718033,60.751104970773056,23.0,,,0.7326870562534135,0.7086446104589115,0.16468079487482706,60.58642417589824,mo5x80pt,
13200,,1715341498.3610432,0.6846330275229358,,,0.7113691368839924,13200,3833.0512981414795,,0.004434461151493846,0.0027156050462241567,63.27769315640131,24.0,,,0.7346247832794092,0.7077577045696068,0.171647047996521,63.1060461084048,mo5x80pt,
13728,,1715341649.9792454,0.6926605504587156,,,0.7103891668770138,13728,3984.669500350952,,0.004426165633970568,0.0026950793802191357,65.80465915997823,25.0,,,0.7335200491836874,0.7136752136752137,0.1785661538441976,65.62609300613404,mo5x80pt,
14256,,1715341801.731775,0.6834862385321101,,,0.7110276321845908,14256,4136.422029972076,,0.00442347656655845,0.002751793951616375,68.33386407295863,26.0,,,0.7336891078270389,0.703862660944206,0.1856954296429952,68.14816864331564,mo5x80pt,
14784,,1715341954.173215,0.6892201834862385,,,0.7124381950734235,14784,4288.863469839096,,0.004417937403877576,0.0027049652753619972,70.87455070018768,27.0,,,0.7355427198121066,0.7101604278074867,0.19240450064341227,70.68214619954428,mo5x80pt,
15312,,1715342106.0970156,0.6857798165137615,,,0.7128242438640514,15312,4440.7872705459595,,0.004422879213391102,0.002740612680758905,73.40660996834437,28.0,,,0.7349930805804091,0.7097457627118644,0.19928459326426187,73.20732537508012,mo5x80pt,
